Time,Open,High,Low,Close
02/01/2024 00:00,0.68069,0.68137,0.68051,0.68124
02/01/2024 00:15,0.68124,0.68138,0.68055,0.68073
02/01/2024 00:30,0.68074,0.6811,0.68074,0.68097
02/01/2024 00:45,0.68097,0.68103,0.68051,0.6806
02/01/2024 01:00,0.6806,0.68126,0.6806,0.68109
02/01/2024 01:15,0.68109,0.68118,0.68089,0.68116
02/01/2024 01:30,0.68116,0.68118,0.68088,0.68091
02/01/2024 01:45,0.68091,0.68099,0.68059,0.68091
02/01/2024 02:00,0.68091,0.68142,0.6809,0.68122
02/01/2024 02:15,0.68123,0.68128,0.68087,0.68096
02/01/2024 02:30,0.68096,0.68117,0.68082,0.68117
02/01/2024 02:45,0.68116,0.68143,0.68116,0.68136
02/01/2024 03:00,0.68135,0.68224,0.68122,0.68172
02/01/2024 03:15,0.68173,0.68219,0.68162,0.68172
02/01/2024 03:30,0.68172,0.68178,0.68099,0.68148
02/01/2024 03:45,0.68148,0.68174,0.68113,0.68121
02/01/2024 04:00,0.68121,0.68136,0.68104,0.68107
02/01/2024 04:15,0.68108,0.68127,0.6808,0.68089
02/01/2024 04:30,0.68089,0.68093,0.6803,0.68041
02/01/2024 04:45,0.68041,0.68051,0.68024,0.68041
02/01/2024 05:00,0.68041,0.68069,0.6802,0.68054
02/01/2024 05:15,0.68054,0.68075,0.68038,0.6807
02/01/2024 05:30,0.6807,0.68167,0.68069,0.68164
02/01/2024 05:45,0.68164,0.68188,0.68134,0.68143
02/01/2024 06:00,0.68143,0.68157,0.6813,0.68151
02/01/2024 06:15,0.68151,0.68189,0.68143,0.68182
02/01/2024 06:30,0.68182,0.68204,0.6817,0.68172
02/01/2024 06:45,0.68172,0.68187,0.68168,0.68187
02/01/2024 07:00,0.68187,0.68275,0.68187,0.68274
02/01/2024 07:15,0.68273,0.68298,0.68245,0.68277
02/01/2024 07:30,0.68277,0.68317,0.68262,0.68313
02/01/2024 07:45,0.68313,0.68388,0.68313,0.68383
02/01/2024 08:00,0.68383,0.68386,0.68316,0.68332
02/01/2024 08:15,0.68333,0.6835,0.68306,0.6835
02/01/2024 08:30,0.6835,0.68358,0.68315,0.68344
02/01/2024 08:45,0.68344,0.68346,0.68242,0.68257
02/01/2024 09:00,0.68256,0.68276,0.68189,0.68263
02/01/2024 09:15,0.68263,0.68299,0.68241,0.68274
02/01/2024 09:30,0.68275,0.68302,0.68233,0.68235
02/01/2024 09:45,0.68234,0.68238,0.68188,0.68194
02/01/2024 10:00,0.68195,0.68337,0.68195,0.68333
02/01/2024 10:15,0.68333,0.68336,0.68277,0.68286
02/01/2024 10:30,0.68286,0.68303,0.68239,0.68278
02/01/2024 10:45,0.68279,0.68281,0.6822,0.68245
02/01/2024 11:00,0.68245,0.6828,0.68242,0.68255
02/01/2024 11:15,0.68254,0.68281,0.68232,0.68266
02/01/2024 11:30,0.68265,0.68325,0.68263,0.68283
02/01/2024 11:45,0.68283,0.68285,0.68209,0.68214
02/01/2024 12:00,0.68214,0.6824,0.68122,0.68142
02/01/2024 12:15,0.68141,0.68161,0.6811,0.68132
02/01/2024 12:30,0.68132,0.68199,0.68132,0.68199
02/01/2024 12:45,0.68199,0.68227,0.68155,0.68164
02/01/2024 13:00,0.68164,0.68164,0.68073,0.68081
02/01/2024 13:15,0.68079,0.68081,0.68023,0.68023
02/01/2024 13:30,0.68023,0.68024,0.67955,0.67974
02/01/2024 13:45,0.67974,0.68011,0.6796,0.68001
02/01/2024 14:00,0.68001,0.68007,0.67965,0.67996
02/01/2024 14:15,0.67997,0.67997,0.67901,0.67936
02/01/2024 14:30,0.67936,0.67938,0.67873,0.67874
