Time,Open,High,Low,Close
02/01/2024 00:00,0.68069,0.68224,0.68051,0.68121
02/01/2024 04:00,0.68121,0.68388,0.6802,0.68383
02/01/2024 08:00,0.68383,0.68386,0.68188,0.68214
02/01/2024 12:00,0.68214,0.6824,0.67772,0.67796
02/01/2024 16:00,0.67797,0.67908,0.6761,0.67731
02/01/2024 20:00,0.67731,0.67736,0.67563,0.67598
03/01/2024 00:00,0.67609,0.67703,0.67518,0.6756
03/01/2024 04:00,0.6756,0.67703,0.67505,0.67641
03/01/2024 08:00,0.67641,0.67699,0.67451,0.67491
03/01/2024 12:00,0.6749,0.67513,0.6712,0.67148
03/01/2024 16:00,0.67151,0.67392,0.6702,0.67201
03/01/2024 20:00,0.672,0.67373,0.67068,0.67306
04/01/2024 00:00,0.67277,0.67357,0.67103,0.67299
04/01/2024 04:00,0.67299,0.67465,0.67206,0.67395
04/01/2024 08:00,0.67395,0.67597,0.67394,0.67429
04/01/2024 12:00,0.67429,0.67454,0.67089,0.67128
04/01/2024 16:00,0.67128,0.67172,0.66964,0.67028
04/01/2024 20:00,0.67028,0.67073,0.66982,0.67059
05/01/2024 00:00,0.67066,0.67164,0.6699,0.6711
05/01/2024 04:00,0.6711,0.67183,0.66924,0.67031
05/01/2024 08:00,0.67031,0.67092,0.66818,0.66823
05/01/2024 12:00,0.66822,0.66894,0.66404,0.6686
05/01/2024 16:00,0.66866,0.67479,0.66829,0.67142
05/01/2024 20:00,0.6714,0.67268,0.67051,0.67131
08/01/2024 00:00,0.67141,0.67344,0.67092,0.6726
08/01/2024 04:00,0.6726,0.6726,0.66938,0.66997
08/01/2024 08:00,0.66997,0.67148,0.66815,0.66974
08/01/2024 12:00,0.66977,0.66996,0.66773,0.66813
08/01/2024 16:00,0.66813,0.67216,0.66795,0.67121
08/01/2024 20:00,0.67121,0.67229,0.67051,0.67193
09/01/2024 00:00,0.67188,0.67308,0.6703,0.67282
09/01/2024 04:00,0.67282,0.67343,0.67072,0.67085
09/01/2024 08:00,0.67085,0.67135,0.6695,0.6704
09/01/2024 12:00,0.67041,0.67055,0.66877,0.66984
09/01/2024 16:00,0.66984,0.67013,0.66771,0.66866
09/01/2024 20:00,0.66865,0.66921,0.66769,0.66861
